"Class","SideChain","Age","cbr_New"
"TG e_ether","20:0","1 ",83.6441
"TG e","19:0","1 ",3.2227
"TG e_ether","18:3","1 ",6.4455
"TG e","18:2","1 ",0.4378
"TG e","18:1","1 ",60.3284
"TG e_ether","18:0","1 ",9.0348
"TG e","17:0","1 ",3.2227
"TG e","16:1","1 ",17.1756
"TG e","16:0","1 ",15.1749
"TG e_ether","14:1","1 ",0.8757
"TG e","11:3","1 ",0.4378
"TG e_ether","20:0","19 ",31.648
"TG e","19:0","19 ",14.9088
"TG e_ether","18:3","19 ",29.8176
"TG e","18:2","19 ",0.3197
"TG e","18:1","19 ",39.7968
"TG e_ether","18:0","19 ",37.895
"TG e","17:0","19 ",14.9088
"TG e","16:1","19 ",8.7474
"TG e","16:0","19 ",20.9987
"TG e_ether","14:1","19 ",0.6394
"TG e","11:3","19 ",0.3197
"PE e","24:2","1 ",46.7839
"PE p","24:2","1 ",45.8768
"PE p","24:0","1 ",29.4813
"PE e","22:6","1 ",9.2932
"PC e_ether","20:0","1 ",100
"PE e_ether","20:0","1 ",36.1076
"PE e","18:3","1 ",15.7588
"PE p","18:3","1 ",8.1403
"PE e","18:2","1 ",14.728
"PE e","18:1","1 ",13.4277
"PE p","18:1","1 ",13.4062
"PE p_vinylether","18:0","1 ",24.6419
"PE e_ether","16:1","1 ",7.6477
"PE e_ether","16:0","1 ",9.2932
"PC e","14:1","1 ",100
"PE e_ether","12:0","1 ",46.7839
"PE p_vinylether","12:0","1 ",68.2636
"PE p_vinylether","10:0","1 ",7.0945
"PE e","24:2","19 ",37.342
"PE p","24:2","19 ",41.3574
"PE p","24:0","19 ",40.3029
"PC e_ether","20:0","19 ",100
"PE e_ether","20:0","19 ",39.2355
"PE e","18:3","19 ",18.3552
"PE e","18:2","19 ",12.1348
"PE e","18:1","19 ",32.1681
"PE p","18:1","19 ",14.5661
"PE p_vinylether","18:0","19 ",18.3397
"PE e_ether","16:1","19 ",20.7645
"PC e","14:1","19 ",100
"PE e_ether","12:0","19 ",37.342
"PE p_vinylether","12:0","19 ",68.2668
"PE p_vinylether","10:0","19 ",13.3935
"DG","20:4","1 ",6.8545
"DG","20:0","1 ",7.9311
"DG","18:3","1 ",4.8406
"DG","18:2","1 ",16.0912
"TG","18:2","1 ",8.9006
"DG","18:1","1 ",13.0637
"TG","18:1","1 ",21.2233
"DG","18:0","1 ",5.8277
"TG","18:0","1 ",5.7207
"DG","16:1","1 ",32.4703
"TG","16:1","1 ",11.4348
"DG","16:0","1 ",11.5321
"TG","16:0","1 ",24.0668
"DG","20:4","19 ",8.399
"DG","20:0","19 ",8.408
"DG","18:3","19 ",6.4642
"DG","18:2","19 ",16.1357
"TG","18:2","19 ",7.7843
"DG","18:1","19 ",19.1818
"TG","18:1","19 ",21.1262
"DG","18:0","19 ",5.6434
"TG","18:0","19 ",5.7839
"DG","16:1","19 ",22.2548
"TG","16:1","19 ",15.0899
"DG","16:0","19 ",7.5886
"TG","16:0","19 ",35.3768
"PG","24:2","1 ",7.738
"CL","22:6","1 ",5.1302
"CL","18:4","1 ",4.1769
"CL","18:3","1 ",13.0564
"LPC","18:3","1 ",18.0019
"PC","18:3","1 ",15.7151
"PE","18:3","1 ",28.9379
"PG","18:3","1 ",24.2567
"PI","18:3","1 ",30.9325
"PS","18:3","1 ",26.6812
"CL","18:2","1 ",44.1359
"LPC","18:2","1 ",21.0738
"PC","18:2","1 ",14.2779
"PE","18:2","1 ",6.1683
"PG","18:2","1 ",13.9512
"PI","18:2","1 ",13.2712
"PS","18:2","1 ",10.3923
"LPC","18:1","1 ",26.97
"PC","18:1","1 ",13.9015
"PE","18:1","1 ",29.8604
"PG","18:1","1 ",10.5688
"PI","18:1","1 ",21.4563
"PS","18:1","1 ",47.1034
"PE","18:0","1 ",9.2352
"PI","18:0","1 ",7.574
"PS","18:0","1 ",9.0703
"CL","16:1","1 ",22.3976
"LPC","16:1","1 ",13.3322
"PC","16:1","1 ",15.4468
"PE","16:1","1 ",4.6071
"PG","16:1","1 ",3.3977
"PI","16:1","1 ",4.1751
"LPC","16:0","1 ",15.5492
"PC","16:0","1 ",37.0969
"PE","16:0","1 ",20.6946
"PG","16:0","1 ",32.3498
"PI","16:0","1 ",22.5908
"PS","16:0","1 ",5.953
"CL","14:0","1 ",5.0774
"PG","10:2","1 ",7.738
"PG","24:2","19 ",8.5053
"PS","19:0","19 ",7.8591
"CL","18:3","19 ",9.9374
"LPC","18:3","19 ",5.8238
"PC","18:3","19 ",6.8534
"PE","18:3","19 ",17.6684
"PG","18:3","19 ",12.58
"PI","18:3","19 ",22.2807
"PS","18:3","19 ",19.8974
"CL","18:2","19 ",33.042
"LPC","18:2","19 ",8.3296
"PE","18:2","19 ",11.2504
"PG","18:2","19 ",12.2268
"PI","18:2","19 ",15.5949
"PS","18:2","19 ",6.0776
"LPC","18:1","19 ",35.5437
"PC","18:1","19 ",23.885
"PE","18:1","19 ",26.6721
"PG","18:1","19 ",10.9188
"PI","18:1","19 ",18.0751
"PS","18:1","19 ",53.6904
"PE","18:0","19 ",8.001
"PI","18:0","19 ",13.0069
"PS","18:0","19 ",6.1452
"CL","16:1","19 ",40.8828
"LPC","16:1","19 ",33.7688
"PC","16:1","19 ",38.2323
"PE","16:1","19 ",9.9525
"PG","16:1","19 ",15.1459
"PI","16:1","19 ",11.1578
"LPC","16:0","19 ",8.9374
"PC","16:0","19 ",24.4007
"PE","16:0","19 ",22.6129
"PG","16:0","19 ",32.1179
"PI","16:0","19 ",19.8847
"PG","10:2","19 ",8.5053
