"Class","SideChain","Age","cbr_Old"
"TG e_ether","20:0","1 ",79.488
"TG e","19:0","1 ",5.1773
"TG e_ether","18:3","1 ",10.3545
"TG e","18:2","1 ",1.0491
"TG e","18:1","1 ",65.7258
"TG e_ether","18:0","1 ",2.5037
"TG e","17:0","1 ",5.1773
"TG e","16:1","1 ",12.5341
"TG e","16:0","1 ",3.7318
"TG e_ether","14:1","1 ",2.0983
"TG e","11:3","1 ",1.0491
"TG e_ether","20:0","19 ",53.0418
"TG e","19:0","19 ",5.4616
"TG e_ether","18:3","19 ",10.9232
"TG e","18:2","19 ",0.1911
"TG e","18:1","19 ",47.1332
"TG e_ether","18:0","19 ",35.6528
"TG e","17:0","19 ",5.4616
"TG e","16:1","19 ",20.5815
"TG e","16:0","19 ",20.98
"TG e_ether","14:1","19 ",0.3822
"TG e","11:3","19 ",0.1911
"PE e","24:2","1 ",50.1304
"PE p","24:2","1 ",45.4466
"PE p","24:0","1 ",29.4485
"PE e","22:6","1 ",7.2481
"PC e_ether","20:0","1 ",94.4444
"PE e_ether","20:0","1 ",35.0229
"PE e","18:3","1 ",14.3355
"PE p","18:3","1 ",8.5098
"PE e","18:2","1 ",15.2322
"PE e","18:1","1 ",12.5442
"PE p","18:1","1 ",14.0892
"PE p_vinylether","18:0","1 ",25.1048
"PE e_ether","16:1","1 ",6.9723
"PE e_ether","16:0","1 ",7.2481
"PC e","14:1","1 ",94.4444
"PE e_ether","12:0","1 ",50.1304
"PE p_vinylether","12:0","1 ",68.3951
"PE p_vinylether","10:0","1 ",6.5
"PE e","24:2","19 ",36.4231
"PE p","24:2","19 ",38.1554
"PE p","24:0","19 ",42.2594
"PC e_ether","20:0","19 ",100
"PE e_ether","20:0","19 ",40.2181
"PE e","18:3","19 ",18.337
"PE e","18:2","19 ",11.7218
"PE e","18:1","19 ",32.8561
"PE p","18:1","19 ",15.2116
"PE p_vinylether","18:0","19 ",19.5852
"PE e_ether","16:1","19 ",20.9734
"PC e","14:1","19 ",100
"PE e_ether","12:0","19 ",36.4231
"PE p_vinylether","12:0","19 ",66.9385
"PE p_vinylether","10:0","19 ",13.4762
"DG","20:4","1 ",5.4095
"DG","20:0","1 ",6.7845
"DG","18:3","1 ",8.3063
"DG","18:2","1 ",15.5854
"TG","18:2","1 ",8.3086
"DG","18:1","1 ",13.6443
"TG","18:1","1 ",22.0079
"DG","18:0","1 ",6.2063
"TG","18:0","1 ",5.8504
"DG","16:1","1 ",33.4364
"TG","16:1","1 ",12.2121
"DG","16:0","1 ",8.4135
"TG","16:0","1 ",26.7572
"DG","20:4","19 ",2.9656
"DG","20:0","19 ",7.4075
"DG","18:3","19 ",5.5049
"DG","18:2","19 ",22.7647
"TG","18:2","19 ",8.086
"DG","18:1","19 ",16.7739
"TG","18:1","19 ",21.034
"DG","18:0","19 ",5.0542
"TG","18:0","19 ",3.7996
"DG","16:1","19 ",26.9057
"TG","16:1","19 ",16.6243
"DG","16:0","19 ",8.1714
"TG","16:0","19 ",36.99
"PG","24:2","1 ",8.1089
"CL","22:6","1 ",4.5089
"CL","18:4","1 ",4.0251
"CL","18:3","1 ",12.8623
"LPC","18:3","1 ",15.8249
"PC","18:3","1 ",13.9913
"PE","18:3","1 ",26.9957
"PG","18:3","1 ",21.2024
"PI","18:3","1 ",29.7378
"PS","18:3","1 ",25.2104
"CL","18:2","1 ",44.9978
"LPC","18:2","1 ",21.6888
"PC","18:2","1 ",14.0834
"PE","18:2","1 ",5.9476
"PG","18:2","1 ",15.2761
"PI","18:2","1 ",13.9967
"PS","18:2","1 ",7.5621
"LPC","18:1","1 ",29.4956
"PC","18:1","1 ",14.1326
"PE","18:1","1 ",30.3127
"PG","18:1","1 ",9.6069
"PI","18:1","1 ",21.8028
"PS","18:1","1 ",52.7929
"PE","18:0","1 ",9.5
"PI","18:0","1 ",8.0181
"PS","18:0","1 ",8.2885
"CL","16:1","1 ",23.1129
"LPC","16:1","1 ",15.079
"PC","16:1","1 ",16.5977
"PE","16:1","1 ",5.1709
"PG","16:1","1 ",3.8061
"PI","16:1","1 ",4.2625
"LPC","16:0","1 ",12.5179
"PC","16:0","1 ",37.5637
"PE","16:0","1 ",21.4929
"PG","16:0","1 ",33.8906
"PI","16:0","1 ",22.1822
"PS","16:0","1 ",5.9357
"CL","14:0","1 ",4.5101
"PG","10:2","1 ",8.1089
"PG","24:2","19 ",8.9949
"PS","19:0","19 ",8.2032
"CL","18:3","19 ",9.4222
"LPC","18:3","19 ",7.1601
"PC","18:3","19 ",7.2017
"PE","18:3","19 ",17.1234
"PG","18:3","19 ",13.1235
"PI","18:3","19 ",20.6589
"PS","18:3","19 ",19.6218
"CL","18:2","19 ",31.0173
"LPC","18:2","19 ",9.1404
"PE","18:2","19 ",11.1721
"PG","18:2","19 ",11.2591
"PI","18:2","19 ",15.418
"PS","18:2","19 ",4.8874
"LPC","18:1","19 ",34.4268
"PC","18:1","19 ",23.4106
"PE","18:1","19 ",28.1252
"PG","18:1","19 ",10.6317
"PI","18:1","19 ",18.2024
"PS","18:1","19 ",54.245
"PE","18:0","19 ",7.4393
"PI","18:0","19 ",11.8984
"PS","18:0","19 ",6.9666
"CL","16:1","19 ",43.0099
"LPC","16:1","19 ",34.3857
"PC","16:1","19 ",38.6692
"PE","16:1","19 ",9.9336
"PG","16:1","19 ",14.7148
"PI","16:1","19 ",12.2072
"LPC","16:0","19 ",8.5197
"PC","16:0","19 ",24.0884
"PE","16:0","19 ",22.8307
"PG","16:0","19 ",32.281
"PI","16:0","19 ",21.6151
"PG","10:2","19 ",8.9949
