"Class","SideChain","Age","ct_New"
"TG e_ether","20:0","1 ",57.0515
"TG e","19:0","1 ",0.5914
"TG e_ether","18:3","1 ",1.1827
"TG e","18:2","1 ",0.4643
"TG e","18:1","1 ",53.7132
"TG e_ether","18:0","1 ",34.1705
"TG e","17:0","1 ",0.5914
"TG e","16:1","1 ",27.82
"TG e","16:0","1 ",9.6887
"TG e_ether","14:1","1 ",0.9287
"TG e","11:3","1 ",0.4643
"TG e_ether","20:0","19 ",47.8292
"TG e","19:0","19 ",12.1464
"TG e_ether","18:3","19 ",24.2929
"TG e","18:2","19 ",0.0015
"TG e","18:1","19 ",52.035
"TG e_ether","18:0","19 ",27.8749
"TG e","17:0","19 ",12.1464
"TG e","16:1","19 ",11.0514
"TG e","16:0","19 ",12.6177
"TG e_ether","14:1","19 ",0.0031
"TG e","11:3","19 ",0.0015
"PE e","24:2","1 ",48.5136
"PE p","24:2","1 ",48.8712
"PE p","24:0","1 ",28.3506
"PE e","22:6","1 ",9.0542
"PC e_ether","20:0","1 ",100
"PE e_ether","20:0","1 ",35.8121
"PE e","18:3","1 ",17.1946
"PE p","18:3","1 ",9.3098
"PE e","18:2","1 ",13.5549
"PE e","18:1","1 ",11.6776
"PE p","18:1","1 ",12.5568
"PE p_vinylether","18:0","1 ",22.7781
"PE e_ether","16:1","1 ",6.4667
"PE e_ether","16:0","1 ",9.0542
"PC e","14:1","1 ",100
"PE e_ether","12:0","1 ",48.5136
"PE p_vinylether","12:0","1 ",71.0437
"PE p_vinylether","10:0","1 ",6.1782
"PE e","24:2","19 ",35.5161
"PE p","24:2","19 ",36.7286
"PE p","24:0","19 ",45.2465
"PC e_ether","20:0","19 ",100
"PE e_ether","20:0","19 ",41.2426
"PE e","18:3","19 ",19.0923
"PE e","18:2","19 ",11.0815
"PE e","18:1","19 ",33.5862
"PE p","18:1","19 ",14.4667
"PE p_vinylether","18:0","19 ",18.0249
"PE e_ether","16:1","19 ",20.8611
"PC e","14:1","19 ",100
"PE e_ether","12:0","19 ",35.5161
"PE p_vinylether","12:0","19 ",67.1756
"PE p_vinylether","10:0","19 ",14.7995
"DG","20:4","1 ",2.33
"DG","20:0","1 ",5.471
"DG","18:3","1 ",15.908
"DG","18:2","1 ",17.7662
"TG","18:2","1 ",11.183
"DG","18:1","1 ",14.8235
"TG","18:1","1 ",21.1826
"DG","18:0","1 ",6.069
"TG","18:0","1 ",6.0971
"DG","16:1","1 ",24.8251
"TG","16:1","1 ",10.2616
"DG","16:0","1 ",10.477
"TG","16:0","1 ",27.9403
"DG","20:4","19 ",2.7535
"DG","20:0","19 ",7.0327
"DG","18:3","19 ",8.3125
"DG","18:2","19 ",16.6074
"TG","18:2","19 ",7.7857
"DG","18:1","19 ",21.2487
"TG","18:1","19 ",23.3601
"DG","18:0","19 ",5.0074
"TG","18:0","19 ",5.7836
"DG","16:1","19 ",30.7926
"TG","16:1","19 ",14.4048
"DG","16:0","19 ",3.0355
"TG","16:0","19 ",34.5435
"PG","24:2","1 ",5.8176
"CL","22:6","1 ",7.3094
"CL","18:4","1 ",5.174
"CL","18:3","1 ",14.7995
"LPC","18:3","1 ",25.0663
"PC","18:3","1 ",19.2718
"PE","18:3","1 ",31.9384
"PG","18:3","1 ",28.9761
"PI","18:3","1 ",35.4032
"PS","18:3","1 ",24.2885
"CL","18:2","1 ",44.301
"LPC","18:2","1 ",20.7705
"PC","18:2","1 ",15.4522
"PE","18:2","1 ",5.2915
"PG","18:2","1 ",13.2149
"PI","18:2","1 ",11.4737
"PS","18:2","1 ",7.1346
"LPC","18:1","1 ",25.2817
"PC","18:1","1 ",11.8619
"PE","18:1","1 ",30.0246
"PG","18:1","1 ",10.5123
"PI","18:1","1 ",19.1204
"PS","18:1","1 ",51.8535
"PE","18:0","1 ",8.351
"PI","18:0","1 ",8.4514
"PS","18:0","1 ",9.5717
"CL","16:1","1 ",16.328
"LPC","16:1","1 ",11.1467
"PC","16:1","1 ",12.3027
"PE","16:1","1 ",3.4306
"PG","16:1","1 ",1.9582
"PI","16:1","1 ",3.1675
"LPC","16:0","1 ",12.8911
"PC","16:0","1 ",37.7522
"PE","16:0","1 ",20.4378
"PG","16:0","1 ",33.7032
"PI","16:0","1 ",22.3838
"PS","16:0","1 ",6.5119
"CL","14:0","1 ",6.8242
"PG","10:2","1 ",5.8176
"PG","24:2","19 ",8.6491
"PS","19:0","19 ",10.7464
"CL","18:3","19 ",9.1998
"LPC","18:3","19 ",6.211
"PC","18:3","19 ",6.0805
"PE","18:3","19 ",16.05
"PG","18:3","19 ",12.4583
"PI","18:3","19 ",19.5926
"PS","18:3","19 ",17.3425
"CL","18:2","19 ",27.7385
"LPC","18:2","19 ",7.1104
"PE","18:2","19 ",12.1777
"PG","18:2","19 ",9.9624
"PI","18:2","19 ",17.3151
"PS","18:2","19 ",4.7742000000000004
"LPC","18:1","19 ",41.8789
"PC","18:1","19 ",25.1037
"PE","18:1","19 ",27.7473
"PG","18:1","19 ",11.9573
"PI","18:1","19 ",18.3861
"PS","18:1","19 ",54.8357
"PE","18:0","19 ",6.9503
"PI","18:0","19 ",11.8782
"PS","18:0","19 ",6.1188
"CL","16:1","19 ",45.1883
"LPC","16:1","19 ",32.4963
"PC","16:1","19 ",38.0204
"PE","16:1","19 ",10.2798
"PG","16:1","19 ",16.5684
"PI","16:1","19 ",11.4992
"LPC","16:0","19 ",6.4254
"PC","16:0","19 ",23.8378
"PE","16:0","19 ",22.4326
"PG","16:0","19 ",31.7554
"PI","16:0","19 ",21.3288
"PG","10:2","19 ",8.6491
