"Class","SideChain","Age","ct_Old"
"TG e_ether","20:0","1 ",73.9634
"TG e","19:0","1 ",0.2576
"TG e_ether","18:3","1 ",0.5152
"TG e","18:2","1 ",2.4746
"TG e","18:1","1 ",69.2586
"TG e_ether","18:0","1 ",20.5723
"TG e","17:0","1 ",0.2576
"TG e","16:1","1 ",12.8273
"TG e","16:0","1 ",12.4497
"TG e_ether","14:1","1 ",4.9491
"TG e","11:3","1 ",2.4746
"TG e_ether","20:0","19 ",39.796
"TG e","19:0","19 ",9.5413
"TG e_ether","18:3","19 ",19.0825
"TG e","18:2","19 ",0
"TG e","18:1","19 ",33.9014
"TG e_ether","18:0","19 ",34.4549
"TG e","17:0","19 ",9.5413
"TG e","16:1","19 ",24.0789
"TG e","16:0","19 ",16.2704
"TG e_ether","14:1","19 ",0
"TG e","11:3","19 ",0
"PE e","24:2","1 ",50.048
"PE p","24:2","1 ",46.6159
"PE p","24:0","1 ",30.6525
"PE e","22:6","1 ",7.5917
"PC e_ether","20:0","1 ",100
"PE e_ether","20:0","1 ",36.3014
"PE e","18:3","1 ",15.6079
"PE p","18:3","1 ",7.5749
"PE e","18:2","1 ",15.0829
"PE e","18:1","1 ",11.659
"PE p","18:1","1 ",12.6736
"PE p_vinylether","18:0","1 ",22.7317
"PE e_ether","16:1","1 ",5.8232
"PE e_ether","16:0","1 ",7.5917
"PC e","14:1","1 ",100
"PE e_ether","12:0","1 ",50.048
"PE p_vinylether","12:0","1 ",69.6553
"PE p_vinylether","10:0","1 ",7.6131
"PE e","24:2","19 ",35.8463
"PE p","24:2","19 ",36.3143
"PE p","24:0","19 ",44.8691
"PC e_ether","20:0","19 ",100
"PE e_ether","20:0","19 ",39.7557
"PE e","18:3","19 ",17.7009
"PE e","18:2","19 ",11.4062
"PE e","18:1","19 ",35.0466
"PE p","18:1","19 ",15.4602
"PE p_vinylether","18:0","19 ",18.8166
"PE e_ether","16:1","19 ",22.1533
"PC e","14:1","19 ",100
"PE e_ether","12:0","19 ",35.8463
"PE p_vinylether","12:0","19 ",66.1931
"PE p_vinylether","10:0","19 ",14.9903
"DG","20:4","1 ",2.3139
"DG","20:0","1 ",8.8628
"DG","18:3","1 ",5.0967
"DG","18:2","1 ",19.0567
"TG","18:2","1 ",8.9095
"DG","18:1","1 ",10.4547
"TG","18:1","1 ",22.6687
"DG","18:0","1 ",6.1716
"TG","18:0","1 ",6.1435
"DG","16:1","1 ",39.8025
"TG","16:1","1 ",12.1719
"DG","16:0","1 ",6.689
"TG","16:0","1 ",25.057
"DG","20:4","19 ",6.4453
"DG","20:0","19 ",5.2615
"DG","18:3","19 ",7.4787
"DG","18:2","19 ",15.6874
"TG","18:2","19 ",7.7094
"DG","18:1","19 ",23.2802
"TG","18:1","19 ",23.3327
"DG","18:0","19 ",5.5948
"TG","18:0","19 ",5.0406
"DG","16:1","19 ",21.859
"TG","16:1","19 ",14.2949
"DG","16:0","19 ",8.178
"TG","16:0","19 ",36.629
"PG","24:2","1 ",9.1996
"CL","22:6","1 ",4.2935
"CL","18:4","1 ",3.5058
"CL","18:3","1 ",12.2845
"LPC","18:3","1 ",16.3108
"PC","18:3","1 ",13.7908
"PE","18:3","1 ",27.0882
"PG","18:3","1 ",21.3516
"PI","18:3","1 ",30.1326
"PS","18:3","1 ",26.9189
"CL","18:2","1 ",43.0789
"LPC","18:2","1 ",21.1058
"PC","18:2","1 ",13.8506
"PE","18:2","1 ",6.7412
"PG","18:2","1 ",13.8721
"PI","18:2","1 ",13.7102
"PS","18:2","1 ",10.1225
"LPC","18:1","1 ",32.9091
"PC","18:1","1 ",15.1202
"PE","18:1","1 ",29.3135
"PG","18:1","1 ",10.3497
"PI","18:1","1 ",20.2953
"PS","18:1","1 ",48.9261
"PE","18:0","1 ",9.6288
"PI","18:0","1 ",9.5077
"PS","18:0","1 ",7.5746
"CL","16:1","1 ",26.2073
"LPC","16:1","1 ",14.7745
"PC","16:1","1 ",16.751
"PE","16:1","1 ",5.2995
"PG","16:1","1 ",5.1443
