"Class","SideChain","Age","s06_Older"
"TG e_ether","20:0","1 ",58.7393
"TG e","19:0","1 ",4.1016
"TG e_ether","18:3","1 ",8.2031
"TG e","18:2","1 ",8.3166
"TG e","18:1","1 ",48.7356
"TG e_ether","18:0","1 ",10.1744
"TG e","17:0","1 ",4.1016
"TG e","16:1","1 ",7.9774
"TG e","16:0","1 ",12.2007
"TG e_ether","14:1","1 ",16.6332
"TG e","11:3","1 ",8.3166
"TG e_ether","20:0","19 ",36.9647
"TG e","19:0","19 ",10.3279
"TG e_ether","18:3","19 ",20.6558
"TG e","18:2","19 ",0
"TG e","18:1","19 ",33.4713
"TG e_ether","18:0","19 ",29.8795
"TG e","17:0","19 ",10.3279
"TG e","16:1","19 ",20.0578
"TG e","16:0","19 ",13.3151
"TG e_ether","14:1","19 ",0
"TG e","11:3","19 ",0
"PE e","24:2","1 ",49.7016
"PE p","24:2","1 ",45.2663
"PE p","24:0","1 ",30.0641
"PE e","22:6","1 ",7.7307
"PC e_ether","20:0","1 ",100
"PE e_ether","20:0","1 ",36.1278
"PE e","18:3","1 ",14.5856
"PE p","18:3","1 ",8.0427
"PE e","18:2","1 ",16.0388
"PE e","18:1","1 ",11.9085
"PE p","18:1","1 ",12.7747
"PE p_vinylether","18:0","1 ",24.6696
"PE e_ether","16:1","1 ",6.2906
"PE e_ether","16:0","1 ",7.7307
"PC e","14:1","1 ",100
"PE e_ether","12:0","1 ",49.7016
"PE p_vinylether","12:0","1 ",68.1144
"PE p_vinylether","10:0","1 ",7.216
"PE e","24:2","19 ",36.1878
"PE p","24:2","19 ",37.467
"PE p","24:0","19 ",45.1899
"PC e_ether","20:0","19 ",100
"PE e_ether","20:0","19 ",40.3073
"PE e","18:3","19 ",16.5623
"PE e","18:2","19 ",13.4881
"PE e","18:1","19 ",33.7618
"PE p","18:1","19 ",13.8617
"PE p_vinylether","18:0","19 ",17.3431
"PE e_ether","16:1","19 ",20.5596
"PC e","14:1","19 ",100
"PE e_ether","12:0","19 ",36.1878
"PE p_vinylether","12:0","19 ",68.6148
"PE p_vinylether","10:0","19 ",14.0421
"DG","20:4","1 ",3.6488
"DG","20:0","1 ",9.2262
"DG","18:3","1 ",10.3261
"DG","18:2","1 ",10.8564
"TG","18:2","1 ",8.9807
"DG","18:1","1 ",13.59
"TG","18:1","1 ",21.7288
"DG","18:0","1 ",1.8471
"TG","18:0","1 ",5.5055
"DG","16:1","1 ",38.0339
"TG","16:1","1 ",14.6185
"DG","16:0","1 ",8.8229
"TG","16:0","1 ",27.4432
"DG","20:4","19 ",9.4948
"DG","20:0","19 ",6.55
"DG","18:3","19 ",9.6842
"DG","18:2","19 ",16.0131
"TG","18:2","19 ",7.7578
"DG","18:1","19 ",17.651
"TG","18:1","19 ",22.3889
"DG","18:0","19 ",3.7662
"TG","18:0","19 ",4.105
"DG","16:1","19 ",24.5933
"TG","16:1","19 ",13.6317
"DG","16:0","19 ",7.0899
"TG","16:0","19 ",38.0702
"PG","24:2","1 ",10.2744
"CL","22:6","1 ",4.095
"CL","18:4","1 ",3.4704
"CL","18:3","1 ",12.4157
"LPC","18:3","1 ",13.6944
"PC","18:3","1 ",12.6971
"PE","18:3","1 ",25.7261
"PG","18:3","1 ",19.6274
"PI","18:3","1 ",28.996
"PS","18:3","1 ",25.2389
"CL","18:2","1 ",42.6652
"LPC","18:2","1 ",21.5347
"PC","18:2","1 ",12.5593
"PE","18:2","1 ",6.2289
"PG","18:2","1 ",14.0294
"PI","18:2","1 ",14.6011
"PS","18:2","1 ",10.3725
"LPC","18:1","1 ",29.62
"PC","18:1","1 ",14.6479
"PE","18:1","1 ",28.876
"PG","18:1","1 ",9.319
"PI","18:1","1 ",20.4197
"PS","18:1","1 ",50.3448
"PE","18:0","1 ",9.3654
"PI","18:0","1 ",8.6445
"PS","18:0","1 ",7.4582
"CL","16:1","1 ",26.6539
"LPC","16:1","1 ",19.227
"PC","16:1","1 ",20.4354
"PE","16:1","1 ",6.8253
"PG","16:1","1 ",5.081
"PI","16:1","1 ",5.289
"LPC","16:0","1 ",11.1943
"PC","16:0","1 ",36.032
"PE","16:0","1 ",22.4065
"PG","16:0","1 ",31.3945
"PI","16:0","1 ",22.0497
"PS","16:0","1 ",6.2107
"CL","14:0","1 ",4.2424
"PG","10:2","1 ",10.2744
"PG","24:2","19 ",9.4722
"PS","19:0","19 ",9.2922
"CL","18:3","19 ",7.5195
"LPC","18:3","19 ",5.5453
"PC","18:3","19 ",5.8286
"PE","18:3","19 ",15.0234
"PG","18:3","19 ",11.3136
"PI","18:3","19 ",17.7898
"PS","18:3","19 ",16.5951
"CL","18:2","19 ",30.1544
"LPC","18:2","19 ",9.3655
"PE","18:2","19 ",11.6559
"PG","18:2","19 ",12.1249
"PI","18:2","19 ",16.654
"PS","18:2","19 ",5.7063
"LPC","18:1","19 ",37.599
"PC","18:1","19 ",24.4646
"PE","18:1","19 ",27.553
"PG","18:1","19 ",9.483
"PI","18:1","19 ",16.6711
"PS","18:1","19 ",56.1203
"PE","18:0","19 ",7.328
"PI","18:0","19 ",11.1289
"PS","18:0","19 ",5.5613
"CL","16:1","19 ",48.0576
"LPC","16:1","19 ",35.9868
"PC","16:1","19 ",40.666
"PE","16:1","19 ",10.9323
"PG","16:1","19 ",16.3599
"PI","16:1","19 ",13.7831
"LPC","16:0","19 ",6.0464
"PC","16:0","19 ",23.5639
"PE","16:0","19 ",23.7917
"PG","16:0","19 ",31.7742
"PI","16:0","19 ",23.9731
"PG","10:2","19 ",9.4722
