"Class","SideChain","Age","syd_Old"
"TG e_ether","20:0","1 ",80.6037
"TG e","19:0","1 ",6.0875
"TG e_ether","18:3","1 ",12.1749
"TG e","18:2","1 ",0.4298
"TG e","18:1","1 ",65.1156
"TG e_ether","18:0","1 ",6.3617
"TG e","17:0","1 ",6.0875
"TG e","16:1","1 ",12.0825
"TG e","16:0","1 ",9.7673
"TG e_ether","14:1","1 ",0.8596
"TG e","11:3","1 ",0.4298
"TG e_ether","20:0","19 ",33.7378
"TG e","19:0","19 ",13.4124
"TG e_ether","18:3","19 ",26.8248
"TG e","18:2","19 ",0
"TG e","18:1","19 ",32.1327
"TG e_ether","18:0","19 ",31.7451
"TG e","17:0","19 ",13.4124
"TG e","16:1","19 ",19.9195
"TG e","16:0","19 ",13.4306
"TG e_ether","14:1","19 ",0
"TG e","11:3","19 ",0
"PE e","24:2","1 ",48.9326
"PE p","24:2","1 ",46.5075
"PE p","24:0","1 ",30.1678
"PE e","22:6","1 ",9.1919
"PC e_ether","20:0","1 ",100
"PE e_ether","20:0","1 ",35.4886
"PE e","18:3","1 ",15.447
"PE p","18:3","1 ",7.8546
"PE e","18:2","1 ",14.9879
"PE e","18:1","1 ",11.4143
"PE p","18:1","1 ",12.8339
"PE p_vinylether","18:0","1 ",23.3247
"PE e_ether","16:1","1 ",6.1256
"PE e_ether","16:0","1 ",9.1919
"PC e","14:1","1 ",100
"PE e_ether","12:0","1 ",48.9326
"PE p_vinylether","12:0","1 ",69.8103
"PE p_vinylether","10:0","1 ",6.865
"PE e","24:2","19 ",33.8279
"PE p","24:2","19 ",36.2179
"PE p","24:0","19 ",45.1147
"PC e_ether","20:0","19 ",100
"PE e_ether","20:0","19 ",41.9062
"PE e","18:3","19 ",19.2383
"PE e","18:2","19 ",11.4494
"PE e","18:1","19 ",35.3381
"PE p","18:1","19 ",15.0495
"PE p_vinylether","18:0","19 ",18.6673
"PE e_ether","16:1","19 ",21.5962
"PC e","14:1","19 ",100
"PE e_ether","12:0","19 ",33.8279
"PE p_vinylether","12:0","19 ",66.6291
"PE p_vinylether","10:0","19 ",14.7036
"DG","20:4","1 ",4.0877
"DG","20:0","1 ",11.4369
"DG","18:3","1 ",10.0304
"DG","18:2","1 ",17.851
"TG","18:2","1 ",9.3174
"DG","18:1","1 ",8.3981
"TG","18:1","1 ",19.8298
"DG","18:0","1 ",6.5994
"TG","18:0","1 ",6.3012
"DG","16:1","1 ",32.5254
"TG","16:1","1 ",10.2619
"DG","16:0","1 ",6.2894
"TG","16:0","1 ",27.1186
"DG","20:4","19 ",5.6257
"DG","20:0","19 ",5.0124
"DG","18:3","19 ",6.9229
"DG","18:2","19 ",15.3049
"TG","18:2","19 ",7.2595
"DG","18:1","19 ",18.6204
"TG","18:1","19 ",21.6584
"DG","18:0","19 ",5.4773
"TG","18:0","19 ",4.9271
"DG","16:1","19 ",26.3975
"TG","16:1","19 ",15.8556
"DG","16:0","19 ",9.6021
"TG","16:0","19 ",38.6908
"PG","24:2","1 ",6.7511
"CL","22:6","1 ",4.8635
"CL","18:4","1 ",3.9784
"CL","18:3","1 ",13.1808
"LPC","18:3","1 ",16.4445
"PC","18:3","1 ",14.2543
"PE","18:3","1 ",27.6923
"PG","18:3","1 ",23.2857
"PI","18:3","1 ",30.1216
"PS","18:3","1 ",25.4832
"CL","18:2","1 ",44.6295
"LPC","18:2","1 ",21.8037
"PC","18:2","1 ",13.8508
"PE","18:2","1 ",5.9865
"PG","18:2","1 ",15.0491
"PI","18:2","1 ",13.7031
"PS","18:2","1 ",8.9659
"LPC","18:1","1 ",30.2115
"PC","18:1","1 ",14.3206
"PE","18:1","1 ",29.3567
"PG","18:1","1 ",10.4917
"PI","18:1","1 ",20.5708
"PS","18:1","1 ",50.0068
"PE","18:0","1 ",9.6396
"PI","18:0","1 ",8.835
"PS","18:0","1 ",8.3948
"CL","16:1","1 ",22.8855
"LPC","16:1","1 ",14.9333
"PC","16:1","1 ",16.4209
"PE","16:1","1 ",5.1686
"PG","16:1","1 ",4.1284
"PI","16:1","1 ",4.4186
"LPC","16:0","1 ",12.1153
